Ship By,WO #,Combo #,Customer,Part,Description,Operation Sequence,Formula (Text),Operation Name,Manufacturing Work Center,Manufacturing Cost Template,Remaining Quantity,Completed Quantity,WO Quantity,Qty Completed,Status,1 to 1 Initiating Order,Machine,Hours Remaining
6/22/2026,12110520492WO,,Clearfield Inc.,022962RevB-1521,"CARD, DESI, FXMP 288, NON-V0",3,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,611,,611,0,Released,Sales Order #13657418DM,,1.7
6/24/2026,12110520544WO,,Wagner Spray Tech Corporation,2442527-1722,"HANG TAG, IMPACT X RevB",4,Die Cut,"Die cutting setup., Die Thru Cut",Die Cut,520-diecut,5154,,5154,0,Released,Sales Order #13656911DM,,1.8
6/24/2026,12110520546WO,,Wagner Spray Tech Corporation,2451758-1722,"HANG TAG, S3, PS UNITS",4,Die Cut,"Die cutting setup., Die Thru Cut",Die Cut,520-diecut,158,,158,0,Released,Sales Order #13657351DM,,.2
6/25/2026,12110520638WO,,Behlen Mfg. Co.,16881183-1436,16881183-1436,4,Die Cut,Diecut,Die Cut,520-diecut,150,,150,0,Released,Sales Order #13657457DM,,.5
6/15/2026,12110520690WO,,Toro Company,115-8227-1700,Controller Decal RevB,3,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,1200,,1200,0,In Process,,,1.6
6/9/2026,12110520739WO,,Toro Company,142-8183-1700,LZS80TDYM724W0 Hangtag RevA,3,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,128,,128,0,In Process,,,.2
6/11/2026,12110520740WO,,Toro Company,140-3669-1700,TAG-HANG POS Snowmaster 724QXE Hang Tag RevA,2,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,600,,600,0,Released,,,.7
7/9/2026,12110520746WO,,Toro Company,139-9930-1700,TAG-HANG POS [PowerClear 721E] Hang Tag RevA,3,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,12000,,12000,0,Released,,,3.5
6/23/2026,12110520747WO,,Toro Company,146-4915-1700,RDS691GKA523A3 Hangtag RevA,3,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,1600,,1600,0,Released,,,.7
6/23/2026,12110520748WO,,Toro Company,146-5031-1700,ZSL3620 Hangtag RevA,3,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,160,,160,0,Released,,,.3
6/30/2026,12110520749WO,,Toro Company,146-4641-1700,LRX850GKA606Q1 Hangtag RevA,3,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,640,,640,0,Released,,,.4
7/7/2026,12110520752WO,,Toro Company,146-3859-1700,LRX820AKA606Q1 Hangtag RevA,3,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,320,,320,0,Released,,,.3
6/22/2026,12110520765WO,,Kwik Trip,KT cappuccino tags 20up 2503 390329,"11.125x6.5carrier,2.5x1kiss-cut20up,subsrfce,whtflood,perm/remoadhsve,kisscut,pkgbulk",4,Die Cut,"Die cutting setup, Die Thru Cut , Die Kiss Cut",Die Cut,520-diecut,500,,500,0,In Process,,,5.1
6/11/2026,12110520783WO,,Toro Company,114-8985-1700,"Control, Power Shovel Decal RevB",6,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,2750,,2750,0,Released,,,.6
6/16/2026,12110520815WO,,"JLG Industries, Inc.",1001294815-Rev1-1334,"DECAL, CLEARSKY",4,Die Cut,diemr-diecut-,Die Cut,520-diecut,14068,,14068,0,In Process,,,2.4
6/25/2026,12110520950WO,,Toro Company,117-7713-1700,Powerlite Safety Decal RevA,4,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,9030,,9030,0,Released,,,1
6/29/2026,12110520963WO,,Toro Company,140-4259-1700,Control Panel [KOH] Decal RevA,5,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,400,,400,0,Released,,,1
6/9/2026,12110521013WO,,Smarte Carte,125497 RevA-1680,"PNL, KEYPAD, HENGDE, 3028",6,Die Cut,"Die cutting setup, Die Kiss Cut",Die Cut,520-diecut,228,,228,0,In Process,Sales Order #13657710DM,,.5
6/23/2026,12110521069WO,,"Metalcraft of Mayville, WI, Inc.",487175-04-1610,"A-DECAL, ROPS SERIAL NO - STII",8,Die Cut,"Die cutting setup, Die Thru Cut , Die Kiss Cut",Die Cut,520-diecut,983,,983,0,In Process,Sales Order #13657439DM,,.6
7/7/2026,12110521061WO,,Toro Company,146-4580-1700,Height Of Cut Decal RevA,5,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,3000,,3000,0,Released,,,1.3
6/10/2026,12110521238WO,,Minnesota State Lottery,Scratch Ticket HP W/Jetbond 2024 AH-1625,July Games 2097-2099 CSDS,4,Die Cut,"Die cutting setup, Die Kiss Cut",Die Cut,520-diecut,7456,,7456,0,In Process,Sales Order #13656664DM,,12.5
6/18/2026,12110521305WO,,Toro Company,147-9420-1700,"Danger, Cut Finger [SNOW] Decal RevA",5,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,10000,,10000,0,In Process,,,1.2
6/30/2026,12110521307WO,,Toro Company,161-6284-1700,TC Havoc [MAX] Decal RevA,5,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,2800,,2800,0,Released,,,.9
6/24/2026,12110521312WO,,"Repnet, Inc.",CAPP77R1C White .125 PETG-1666,"CAPP Reflector Sign Assembly, 7'' x 7'',Rounded Corners, One 0.194'' Hole Centered",3,Die Cut,diemr-diecut-,Die Cut,520-diecut,3,,3,0,Released,Sales Order #13657778DM,,.5
6/23/2026,12110521345WO,,"Endries International, Inc.",74477-1548,DECAL - CAUTION,5,Die Cut,"Die cutting setup., Die Thru Cut",Die Cut,520-diecut,540,,540,0,In Process,Sales Order #13657633DM,,.5
6/23/2026,12110521348WO,,"Endries International, Inc.",52371-1548,"DECAL - WARNING, STAY CLEAR",5,Die Cut,"Die cutting setup., Die Thru Cut",Die Cut,520-diecut,150,,150,0,In Process,Sales Order #13657633DM,,.5
6/18/2026,12110521481WO,,Genie Industries,1283810GT-1001,DECAL Smart Link PROP LIFT STD GR/GS/UI Rev B TRX1283810 SAP#: 1000227315,8,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,3000,,3000,0,In Process,,,2.9
